id,coder,coder_text,pmcid,protocol,participants,participants_text,journal,pub_year,impact_factor,verbatim,reproducible,reproducible_text,anova_within_between,comments_calc,comments_general
1,EZ,,PMC8941226,No,Humans,,Balkan Medical Journal,2022,2.021,"Using the G-power program in the analysis of variance axis for calculating three repeated measurements, the research sample was estimated with 43 participants in group 1 and 26 participants in group 2, with an effect size of 0.25 and 0.05 Œ± and a power of 0.99 1-Œ≤. ",No,,"Yes, but I cannot reasonably assume which option they used.",,
1,RTT,,PMC8941226,No,Humans,,Balkan Medical Journal,2022,2.021,,No,,"Yes, but the researchers use the default option.","Using the G-power program in the analysis of variance axis for calculating three repeated measurements, the research sample was estimated with 43 participants in group 1 and 26 participants in group 2, with an effect size of 0.25 and 0.05 α and a power of 0.99 1-β.",
1,EZ/RTT,,PMC8941226,No,Humans,,Balkan Medical Journal,2022,2.021,"Using the G-power program in the analysis of variance axis for calculating three repeated measurements, the research sample was estimated with 43 participants in group 1 and 26 participants in group 2, with an effect size of 0.25 and 0.05 Œ± and a power of 0.99 1-Œ≤. ",No,,"Yes, but I cannot reasonably assume which option they used.",,
1,resolveNotes,,,,,,,,,,,,"With the default option I get 60, but with Cohen's I get 344. We could add a note in the data that we are not 100% sure, but I'm pretty confident. But then again, I don't think GPower had the option for idfferent size groups in ANOVAs, as they report calculating.",,
2,EZ,,PMC7892658,No,Humans,,Cognitive Research-Principles and Implications,2021,NA,"A conservative estimate of the required sample size to detect a 2√ó2 interaction within an ANOVA, assuming a medium effect size of 0.25 and a medium correlation of within-subject measurements of ùëü=.3, calculated using G*Power 3 (Faul et al. 2007), suggests a required sample size of 32. Given that the linear mixed models (LMMs) used in the present study offer more power than ANOVAs by considering all trials (rather than averaging across trials in ANOVA) and simultansously estimating variance due to subjects and items (Gonz√°lez et al. 2014; Kliegl et al. 2011), 32 participants are likely to be an overestimate of the required sample size to obtain 80% power. Simulations were subsequently run on the collected data to estimate power in the linear mixed model, and these simulations from the data collected in Experiment 1 were used to inform a priori power calculations for Experiments 2 and 3 (for details of these simulations see Data Analysis below).",No,,"Yes, but I cannot reasonably assume which option they used.",,
2,RTT,,PMC7892658,No,Humans,,Cognitive Research-Principles and Implications,2021,NA,,No,,"Yes, but the researchers use the default option.","A conservative estimate of the required sample size to detect a 2×2 interaction within an ANOVA, assuming a medium effect size of 0.25 and a medium correlation of within-subject measurements of r=.3, calculated using G*Power 3 (Faul et al. 2007), suggests a required sample size of 32. ",
2,EZ/RTT,,PMC7892658,No,Humans,,Cognitive Research-Principles and Implications,2021,NA,"A conservative estimate of the required sample size to detect a 2√ó2 interaction within an ANOVA, assuming a medium effect size of 0.25 and a medium correlation of within-subject measurements of ùëü=.3, calculated using G*Power 3 (Faul et al. 2007), suggests a required sample size of 32. Given that the linear mixed models (LMMs) used in the present study offer more power than ANOVAs by considering all trials (rather than averaging across trials in ANOVA) and simultansously estimating variance due to subjects and items (Gonz√°lez et al. 2014; Kliegl et al. 2011), 32 participants are likely to be an overestimate of the required sample size to obtain 80% power. Simulations were subsequently run on the collected data to estimate power in the linear mixed model, and these simulations from the data collected in Experiment 1 were used to inform a priori power calculations for Experiments 2 and 3 (for details of these simulations see Data Analysis below).",No,,"Yes, but I cannot reasonably assume which option they used.",,
2,resolveNotes,,,,,,,,,,,,"Nonetheless, they caluclated a smaller sample size than I did with the default option. So they probably did.",,
3,EZ,,PMC8048988,No,Humans,,JOURNAL OF CLINICAL NURSING,2021,1.972,"The sample size was calculated as 74 participants using G*Power 3.1.9. for the significance level of .05, power of 80% and effect size of .27 for repeated measures analysis of variance (ANOVA) based on a previous study (Kim et al., 2013). Considering the attrition rate, 84 participants were selected for each group. Four participants dropped out during the 8‚Äêweek programs and five dropped out at 12 weeks post‚Äêtest owing to transfer to other hospitals. Thus, 37 participants from the experimental group and 38 from the control group completed the study (Figure ‚Äã",No,,"Yes, but I cannot reasonably assume which option they used.",,
3,RTT,,PMC8048988,No,Humans,,JOURNAL OF CLINICAL NURSING,2021,1.972,,No,,"Yes, but I cannot reasonably assume which option they used.","The sample size was calculated as 74 participants using G*Power 3.1.9. for the significance level of .05, power of 80% and effect size of .27 for repeated measures analysis of variance (ANOVA) based on a previous study (Kim et al., 2013). Considering the attrition rate, 84 participants were selected for each group.",
