StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,coder,coder_4_TEXT,pmcid,protocol,include,participants,participants_4_TEXT,journal,pubYear,impactFactor,verbatim,powerCalcType,powerCalcType_4_TEXT,multiple,statsKnowledge,version,version_1_TEXT,power,power_1_TEXT,alpha,alpha_1_TEXT,sampleSize,sampleSize_1_TEXT,effectSizeType,effectSizeType_6_TEXT,effectSizeType_7_TEXT,effectSizeValue,effectSizeValue_1_TEXT,statTest,statTest_5_TEXT,statTest_6_TEXT,otherRepro,reproducible,reproducible_2_TEXT,justification,justification_5_TEXT,multCompare,multCompareText,ANOVAwithinBetween,match,matchText,error,errorText,impact,commentsCalc,commentsGeneral
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Coder initials - Selected Choice,Coder initials - Other - Text,Enter the article's PMCID.,Is this a study protocol?,"Does this article meet our inclusion criteria? Included articles must use GPower to perform a power calculation. The power calculation can solve for sample size, power, effect size, or any other relevant parameter and may be conducted before or after the study. If the article discusses GPower, but does not use it to conduct a power calculation for a study presented within that article, the article should be excluded (e.g., articles that run power calculations only for future studies should be excluded).","Who are the ""participants"" in the study the power calculation was written for? In other words, what type of study is this? - Selected Choice","Who are the ""participants"" in the study the power calculation was written for? In other words, what type of study is this? - Other - Text",Enter the name of the journal where the article was published.,Enter the year the article was published.,"Enter the Journal Impact Factor for 2 YEARS PRIOR to the year of publication (i.e., if the article is published in 2021, enter the JIF for 2019. This is the JIF that would have been available the year of publication. At the moment, JIFs have only been calculated for 2020 and earlier years).



Use the Journal Citation Report from https://jcr.clarivate.com/jcr/home. If the journal is not listed in that database, or does not have an impact factor for the year the article was published, enter ""NA"" into this box.","Complete this form for only one power calculation that solves for sample size. If there is one power calculation that is unambiguously identified, or likely to be, the primary power calculation, select this one. If there's no indication that one power calculation is more prominent than another one, select the power calculation that solves for sample size that first appears in the article. If there is only one power calculation that solves for sample size, select that one.

Copy-paste text from the article that describes this power calculation. This text should be VERBATIM. Do not put text in this box that doesn't come directly from the article. You do not need to include "" "" quotation marks.",What type of power calculation(s) does this article have? Select multiple options if there are multiple power calculations that solve for different variables. - Selected Choice,What type of power calculation(s) does this article have? Select multiple options if there are multiple power calculations that solve for different variables. - Other - Text,Does the article contain more than one power calculation that solves for sample size?,Do you feel your statistical knowledge is adequate to fill out this form for this specific power calculation?,"Does the power calculation include the version of GPower used? If yes, enter the version number. - Selected Choice","Does the power calculation include the version of GPower used? If yes, enter the version number. - Yes - Text","Does the power calculation report the power or beta (i.e., 1 - power) used? If yes, enter the power value (e.g., 0.8). - Selected Choice","Does the power calculation report the power or beta (i.e., 1 - power) used? If yes, enter the power value (e.g., 0.8). - Yes - Text","Does the power calculation report alpha or the p-value used? If yes, enter the value (e.g., 0.05). - Selected Choice","Does the power calculation report alpha or the p-value used? If yes, enter the value (e.g., 0.05). - Yes - Text","Does the power calculation report the sample size? If yes, enter the TOTAL sample size (e.g., if the power calulcation has 2 groups with 30 participants each, then enter 60). Enter the sample size used in the power caluclation (rather than the actual sample size used). Some articles may add participants to their sample size because of attrition. In this case, enter the sample size output from the power calculaiton (i.e., what's expected after attrition). - Selected Choice","Does the power calculation report the sample size? If yes, enter the TOTAL sample size (e.g., if the power calulcation has 2 groups with 30 participants each, then enter 60). Enter the sample size used in the power caluclation (rather than the actual sample size used). Some articles may add participants to their sample size because of attrition. In this case, enter the sample size output from the power calculaiton (i.e., what's expected after attrition). - Yes - Text",Does the power calculation report the type of effect size? - Selected Choice,Does the power calculation report the type of effect size? - Other: Standardized - Text,"Does the power calculation report the type of effect size? - Other: Non-standardized (e.g., 5 points on a questionnaire scale). - Text","Does the power calculation report the value for the effect size? If yes, then enter the value (e.g. 0.5). Only enter a number here. We will know what type of effect size it is based on your response to the previous question. - Selected Choice","Does the power calculation report the value for the effect size? If yes, then enter the value (e.g. 0.5). Only enter a number here. We will know what type of effect size it is based on your response to the previous question. - Yes - Text",Does the power calculation report the statistical test? - Selected Choice,Does the power calculation report the statistical test? - other regression (please describe) - Text,Does the power calculation report the statistical test? - other non-regression (please describe) - Text,"Are there any other elements of the power calculation that should be reported, but are not reported? For example, the expected proportions in Fisher's test or the number of predictors in a regression. You don't need to reply to this question.","Can you reproduce the power calculation in GPower (within a few minutes)? If yes, take a screenshot of GPower to show the reproduction and save the screenshot filename as the PMCID. - Selected Choice","Can you reproduce the power calculation in GPower (within a few minutes)? If yes, take a screenshot of GPower to show the reproduction and save the screenshot filename as the PMCID. - Yes, but I've had to make some assumptions. (please list the assumptions you made) - Text",Does the article mention a justification or basis for the effect size chosen in their power calculation (you may select multiple options)? - Selected Choice,Does the article mention a justification or basis for the effect size chosen in their power calculation (you may select multiple options)? - Other (please describe) - Text,Does the power calculation mention accounting for multiple comparisons?,"Justify your response to the previous question regarding multiple comparisons. Or enter ""NTA"" for ""nothing to add"".",Is this power calculation for a within-between ANOVA interaction or within ANOVA main effect?,"Does the power calculation match a statistical analysis used in the article. For example, whereas a paired t-test could be used in the power calculation, the article may use an independent samples t-test. The power calculation could also be completely unrelated to the actual analyses conducted (e.g., powered for an ANOVA, but Fisher's tests conducted).","Justify your response to the previous question regarding whether the power calculation matches a statistical analysis in the article. Or enter ""NTA"" for ""nothing to add"".","Is there any other reason (beyond the two previous questions on ANOVAs and matching) why the power calculation contains an error or is inappropriate? For example, the effect size entered could be non-standardized, incorrectly calculated, incorrectly identified in relation to Cohen's indices without justification (e.g., calling f = 0.25 a small effect size), or performed after the study is complete. We do not have an exhaustive list of all possible errors, so please also code ""Yes"" for this question if you come across an error that we haven't described.","Justify your response to the previous question regarding whether the power calculation is inappropriate for any other reason. Or enter ""NTA"" for ""nothing to add"". If you responded ""Yes"" or ""Likely..."" to the previous question, you must explain why in this box.","If an error is present, can the impact of the error be quantified? For example, if the default ANOVA option was mistakenly chosen, what is the difference in sample size between what the article calculated and the same calculation with a different option selected? If no error is present in the calculation, you may leave this box blank.",Provide any additional comments you might have about this specific power calculation. (optional),Provide any additional comments you may have about this survey form or this study in general (optional).
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID287""}","{""ImportId"":""QID3""}","{""ImportId"":""QID286""}","{""ImportId"":""QID286_5_TEXT""}","{""ImportId"":""QID282_TEXT""}","{""ImportId"":""QID283_TEXT""}","{""ImportId"":""QID284_TEXT""}","{""ImportId"":""QID154_TEXT""}","{""ImportId"":""QID289""}","{""ImportId"":""QID289_4_TEXT""}","{""ImportId"":""QID290""}","{""ImportId"":""QID285""}","{""ImportId"":""QID294""}","{""ImportId"":""QID294_2_TEXT""}","{""ImportId"":""QID272""}","{""ImportId"":""QID272_1_TEXT""}","{""ImportId"":""QID273""}","{""ImportId"":""QID273_1_TEXT""}","{""ImportId"":""QID275""}","{""ImportId"":""QID275_2_TEXT""}","{""ImportId"":""QID277""}","{""ImportId"":""QID277_8_TEXT""}","{""ImportId"":""QID277_6_TEXT""}","{""ImportId"":""QID291""}","{""ImportId"":""QID291_1_TEXT""}","{""ImportId"":""QID293""}","{""ImportId"":""QID293_5_TEXT""}","{""ImportId"":""QID293_6_TEXT""}","{""ImportId"":""QID163_TEXT""}","{""ImportId"":""QID159""}","{""ImportId"":""QID159_2_TEXT""}","{""ImportId"":""QID279""}","{""ImportId"":""QID279_7_TEXT""}","{""ImportId"":""QID168""}","{""ImportId"":""QID171_TEXT""}","{""ImportId"":""QID160""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165_TEXT""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID295_TEXT""}","{""ImportId"":""QID169_TEXT""}","{""ImportId"":""QID292_TEXT""}"
2022-04-26 21:22:09,2022-04-26 21:42:23,IP Address,71.202.106.57,100,1213,True,2022-04-26 21:42:23,R_3gSCAxh0oDVB7mH,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC8255608,Yes,Include,Humans,,frontiers in psychiatry,2021,1000000,"Regarding our primary objective, two kind of analysis will be conducted: Pearson correlation and mediation. We computed an a priori power analysis using G*Power software to estimate the sample size for these tests. To reach a medium effect size (i.e., r = 0.3), with an α-error of 5% (two-sided) and a β-error of 80%, the total sample size represents 84 participants for Pearson correlations and 149 participants for mediation analysis (based on a three groups IV and one mediator). We decided to recruit 300 youth in our study to allow for up to half of the participants dropping out of the study.",Solves for sample size (often called a priori),,Yes,Yes,,,Yes,0.2,Yes,0.05,Yes,84,Other: Standardized,r,,Yes,0.3,,,,"tails, correlation for null (presumed zero)","Yes, but I've had to make some assumptions. (please list the assumptions you made)",,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",They have 2 primary outcomes but don't adjust these multiple comparisons. They also have several secondary outcomes.,No,Unsure (there's not enough information to reasonably code yes or no).,"protocol, no analyses conducted.","Likely, but I cannot be certain based on the information provided.",nothing to add,,,
2022-04-26 21:42:25,2022-04-26 21:52:25,IP Address,71.202.106.57,100,599,True,2022-04-26 21:52:25,R_12mrzeHIxBO0Oql,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC6868625,No,Include,Humans,,Contemporary Clinical Dentistry,2018,11111111111111111111111,"The sample size was calculated based on the study by Burton et al.[18] using a priori by G*Power Software Version 3.0.1.0 (Franz Faul, Universitat Kiel, Germany). The minimum sample size of each group was calculated, following these input conditions: power of 0.95 and P ≤ 0.05 and the sample size arrived was 13 per group.",Solves for sample size (often called a priori),,No,Yes,,,Yes,0.95,Yes,0.05,Yes,52,No,,,No,,the statistical test is NOT reported,,,,No,,Previously published research,,Unsure,Too unclear to make this call.,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,"they run many analyses, and it's very unclear which one the power calc was for",No,"nothing to add
",,,
2022-04-26 21:52:28,2022-04-26 22:35:05,IP Address,71.202.106.57,100,2556,True,2022-04-26 22:35:05,R_2bIRrQbamC2DGX4,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC8493104,No,Include,Humans,,Brain communications,2021,111111111,"ike many lesion neuropsychology studies, this presents challenges when attempting to compare to other reports. And while larger than most other similar types of reports, our sample size may not have been large enough to detect small effects. In a post hoc power analysis with G*Power 3135 using the observed effect size (f2 = 1.02) and sample size (n = 20) from our multiple regression model to assess the effect of animacy, we achieved a power of 0.78.",Solves for power (often called post hoc),,No,Probably,,,Yes,0.78,No,,Yes,20,f2,,,Yes,1.02,other regression (please describe),,,number of predictors is missing,No,,Other (please describe),"post-hoc, based on the observed effect size","No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",multiple regression,No,Yes,they match,"Likely, but I cannot be certain based on the information provided.","it just seems the number of predictors was missing, which may be 6.",,,
2022-04-26 22:35:07,2022-04-26 22:57:39,IP Address,71.202.106.57,100,1352,True,2022-04-26 22:57:39,R_2drU1MNeMibI5jq,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC7040949,No,Include,Humans,,Sports Health,2020,111111111111,"An a priori sample size calculation was performed (GPower, Version 3.0.10).8 The difference between the 2 measurements for shoulder IR ROM was expected to be 9.6°, with 11° SD,13 and 63 participants were required to determine the significant difference with 80% power (5% type I error) (21 participants per group). ",Solves for sample size (often called a priori),,No,Probably,,,Yes,.80,Yes,.05,Yes,63,No,,,No,,the statistical test is NOT reported,,,It appears the power calc was for the ANOVA. The correlation and GPowe roption aren't detailed.,No,,Previously published research,,Unsure,"They do mention accouning for 3 comparisons, but it's unclear whether this is in the power calc or just the analysis later performed.",Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,not enough detail,No,"Likely: they have many many analyses, but only power for one, that is not clearly indicated as a primary outcome.",,They perform several other statistical tests.,They don't appear to understand what they are doing in terms of power.
2022-04-26 22:57:45,2022-04-26 23:19:17,IP Address,71.202.106.57,100,1292,True,2022-04-26 23:19:18,R_1CBbdLNbWmkWzw6,,,,,37.0609,-122.0198,anonymous,EN-GB,RTT,,PMC7647749,No,Include,Humans,,Pain Research and Management,2020,11111,"G∗Power software version 3.1.9.7. was used to calculate the effect size of the Mann–Whitney U-test. We applied Mann–Whitney to calculate the sample size because our hypothesis was that patients would divide into, at least, two groups. An a-priori power analysis for a Mann–Whitney U-test was conducted in to determine a sufficient sample size using an alpha of 0.05, a power of 0.80, and a large effect size (d = 0.80), as well as one tail.",Solves for sample size (often called a priori),,No,Yes,,,Yes,.80,Yes,.05,No,,No,,,No,,other regression (please describe),Mann-Whitney,,"the first line suggests the authors determined sample size using GPower, but this may be just unclear writing.","Yes, but I've had to make some assumptions. (please list the assumptions you made)",,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",sevearl outcomes  without indication of a primary.,No,Unsure (there's not enough information to reasonably code yes or no).,NTA,Yes,It appears to use a 2 group power calculation and then run the test on 3 groups.,,,
2022-04-26 23:37:13,2022-04-26 23:37:13,Survey Test,,100,0,True,2022-04-26 23:37:13,R_8D4AK4oexM3tOo6,,,,,37.0609,-122.0198,test,,RTT,,"Tincidunt quam ut, vel gravida amet. Justo mi ultrices imperdiet, eros.",No,Include,Humans,,Leo dui tempus gravida etiam malesuada dolorem sollicitudin magnis eget faucibus posuere.,Ante nulla urna diam id purus erat blandit. Tempora pede! Cras. Tortor! Donec nullam.,"Lorem wisi ante facilisi nulla ullamcorper nibh, velit tempor sem facilisis.","Mi tellus mattis arcu ante, vulputate nec nullam faucibus dictumst commodo, ut.",Other,,No,"No (If you select this option, the survey will terminate and we will be sure to get a stats savvy coder to be the other coder for this power calculation)",,,No,,Yes,Ligula? Mauris mauris vulputate tempus purus sem. Dui laoreet orci integer.,Yes,"Integer lorem massa fermentum interdum! Tempor magna vivamus convallis, arcu. Pharetra sodales rhoncus! Aliquet interdum.",d,,,No,,the statistical test is NOT reported,,,Sodales nulla neque iaculis ligula vehicula faucibus ab nibh? Aliquam nibh euismod. Placerat.,"Yes, based solely on the information in the article or its supplementary material",,Previously published research,,2,"Arcu, aliquet consequat volutpat! Tincidunt tempora praesent orci venenatis laoreet erat maecenas.",Unsure whether the power calculation was for an ANOVA or another type of statistical test.,The article is a protocol,Sollicitudin elit sapien quam duis metus eleifend risus! Ridiculus? Magna scelerisque.,No,Vestibulum vestibulum culpa viverra sit ullamcorper quam enim placerat aliquet.,,Nullam sem commodo ab? Tempus odio sit sapien eu ultrices platea per.,Eros aenean? Dapibus accusamus et augue sapien sem ultricies atque vitae tincidunt metus tempus eget.
2022-04-26 23:37:13,2022-04-26 23:37:13,Survey Test,,100,0,True,2022-04-26 23:37:13,R_8vOOyw0tTABsSJU,,,,,37.0609,-122.0198,test,,RTT,,"Duis vivamus cursus integer ante sapien tellus imperdiet dolorem, ridiculus primis rhoncus! Purus.",Yes,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26 23:37:14,2022-04-26 23:37:14,Survey Test,,100,0,True,2022-04-26 23:37:14,R_6Ws6jSQH17aCjTU,,,,,37.0609,-122.0198,test,,HP,,"Interdum etiam orci mi dolorem? Fusce dignissim magnis ultricies, accumsan facilisis risus.",Yes,Exclude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
