id,coder,pmcid,protocol,include,participants,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,multiple,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general,effect_size_type_binary,stat_test_binary,all6,all6_binary,reproducible_binary,justification_binary,just_previous,just_pilot,just_convention,just_mcid,just_none,just_ref,just_other
3,EZ/RTT,PMC6776827,No,Include,Human,Frontiers in Psychology,FRONTIERS MEDIA SA,2019,2.089,"The necessary sample size for this study was calculated using Gâˆ—Power (Faul et al., 2007). A sample size of 34 participants per group was needed to detect a moderate-to-large effect size (Cohenâ€™s d â‰¥ 0.7) with 80% power using a t-test with an alpha of 0.05 (two tailed significance).",Solves for sample size (often called a priori),No,0,,1,0.8,1,0.05,1,68,d,,,1,0.7,t-test,,,"paired or independent t-test (this can be implied by ""34 participants per group""; # of tails","Yes, based solely on the information in the article or its supplementary material",,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)","They identify the POM-2 as their primary outcome. They present it as an ""overall"" effect, and also as the 2 components seperately.",No,Yes,NTA,No,NTA,,,,1,1,6,1,1,1,0,0,1,0,0,0,0
6,EZ/RTT,PMC7862452,No,Include,Human,Scientific Reports,NATURE PORTFOLIO,2021,3.998,"To determine the sample-size, we conducted in G*Power 3.185 a power analysis based on the data of our previous study15 showing that, in a similar task, the impact on performance of a reversal of action-note associations in the partner is modulated by task interactivity. The analysis revealed that, with Î±â€‰=â€‰0.05 and statistical power at 1â€“Î²â€‰=â€‰0.95, we needed a sample size of Nâ€‰=â€‰12 to replicate such an effect (paired sample t-test comparing the effect of Association between the interactive and non-interactive task). As we aimed to explore, within the interactive task, the presence of possible differences between different types of errors included in the reversed association condition, we doubled the sample-size. An identical sample-size was selected for the experiment described in the Main text and for the Replication experiment (see Supplementary Information).",Solves for sample size (often called a priori),No,1,3.1,1,0.95,1,0.05,1,12,No,,,0,NA,t-test,,,# of tails,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",They run multiple analyses,No,No,They run many analyses. Only one of them is a t-test. That t-test is Bayesian and run based on other results that were obtained.,Unsure (there's not enough information to reasonably code yes or no).,,,,,0,1,4,0,0,1,1,0,0,0,0,0,0
7,EZ/RTT,PMC7908791,No,Include,Non-human animal,BMC Cardiovascular Disorders,BMC,2021,2.078,"The primary outcome for which we were trying to detect an effect was the rates of ROSC. The sample size was calculated using software G-power with an alpha errorâ€‰=â€‰0.05, power(1-beta)â€‰=â€‰0.95, effect sizeâ€‰=â€‰0.8, degrees of freedomâ€‰=â€‰2. Therefore, 13 rats were allocated to each group considering an expected loss rate. After asphyxia-induced cardiac arrest, the rats were randomly allocated into one of 3 groups (control saline group (nâ€‰=â€‰13), IV epinephrine group (nâ€‰=â€‰13) and IM epinephrine group (nâ€‰=â€‰13)).",Solves for sample size (often called a priori),No,0,,1,0.95,1,0.05,0,NA,No,,,1,0.8,the statistical test is NOT reported,,,Well the loss rate is mentioned that they account for but they don't report what rate they account for therefore the real sample size is not known (without loss rate),No,,No justification or basis is reported,,"No, and there is no reason to account for multiple comparisons (e.g., there is only one analysis, or this analysis is clearly demarcated as the primary analysis)",Clearly demarcated that the comparison of ROSC rates between groups is the primary outcome (although there are many p-values to find...),Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,they don't report the sample size without the addition for attrition,,0,0,3,0,0,0,0,0,0,0,1,0,0
9,EZ/RTT,PMC8459248,No,Include,Human,Psychophysiology,WILEY,2021,3.692,"Power analysis with G*Power 3.1 (Faul et al., 2009) indicated a necessary sample size of 100 participants to detect moderate effect sizes of f = 0.20 with Î± = .05, 80% power, a moderate correlation among repeated measures (r = .30), nonsphericity correction of 1, and two measurements in a fourâ€group repeated measures ANOVA. We assumed moderate effect size for the HF HRV variable based on previous studies that found a moderate effect with a comparable similar methodology (Iffland et al., 2014; Î·2p = .11) and the large effect size for selfâ€reported distress and behavioral measure of aggression based on the Cyberball literature (d = 1.36; Hartgerink et al., 2015).",Solves for sample size (often called a priori),No,1,3.1,1,0.8,1,0.05,1,100,f,,,1,0.2,ANOVA,,,,"Yes, but I've had to make some assumptions. (please list the assumptions you made)",within-between; default option,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",No,they power for a 2x4 ANOVA but only report 2x2x2 ANOVAs,No,,"ES is 0.3380617 vs 0.2 when using cohen's option. Alternatively, the sample size required is 280 instead of 100.",,,1,1,6,1,1,1,1,0,0,0,0,0,0
10,EZ/RTT,PMC8676939,No,Include,Human,Behavior Research Methods,SPRINGER,2021,4.425,"This sample size was determined a priori using G*Power (Faul et al., 2007, 2009) based on an effect size derived from a previous paired-samples t test contrasting pre- and postexercise antisaccade RTs via a high-resolution eye tracker (Œ± = 0.05, power = 0.99) (dz=1.14; Samani & Heath, 2018).",Solves for sample size (often called a priori),No,0,,1,0.99,1,0.05,1,50,d,,,1,1.14,t-test,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",Not sure what the primary outcome is so difficult to know what they're testing for but they have many statistical sig tests.,No,Yes,NTA,Yes,"I can reproduce the calculation, but for an independents sample two-tailed t-test. I don't see how they could have calculated a sample size of 50 with the effect size for a paired-sample t-test.",,,,1,1,6,1,0,1,1,0,0,0,0,0,0
14,EZ/RTT,PMC6356668,No,Include,Human,Nutrients,MDPI,2019,4.196,"A priori sample size based on G*power software (Î± = 0.05 and 1-Î² = 0.80) using satiety data from Mettler et al. (2010) [4] based on resistance training individuals consuming 2.3 gÂ·kgâˆ’1Â·dâˆ’1 vs. 1 gÂ·kgâˆ’1Â·dâˆ’1, estimated 14 in each group.",Solves for sample size (often called a priori),No,0,,1,0.8,1,0.05,1,28,No,,,0,NA,the statistical test is NOT reported,,,,No,,Other (please describe),alludes to previous research about sample sizes (but not necessarily related to effect size),"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",NTA,Unsure whether the power calculation was for an ANOVA or another type of statistical test.,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,,0,0,3,0,0,1,0,0,0,0,0,0,1
16,EZ/RTT,PMC6953853,No,Include,Human,PLOS ONE,PUBLIC LIBRARY SCIENCE,2020,2.776,"The sample size was calculated using Gpower* software version three.
 
 With alpha set at p < 0.05, (two-tailed) and power at 0.95, the estimated minimum sample size was calculated to be 105 participants. A total of 319 participants were recruited which exceeded the number participants required to detect significant differences and relationships by a factor of three.
 
 The effect size was measured using Cohenâ€™s d statistic. Consistent with the literature, we used established cut-offs of 0.2, 0.5, and 0.8 for a small, moderate, and large effect sizes respectively [28].",Solves for sample size (often called a priori),No,1,3,1,0.95,1,0.05,1,105,d,,,1,NA,the statistical test is NOT reported,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,,1,0,5,0,0,1,0,0,1,0,0,0,0
17,EZ/RTT,PMC7759204,No,Include,Human,Social Cognitive and Affective Neuroscience,OXFORD UNIV PRESS,2020,3.662,"Sixty-four healthy adults (age: meanâ€‰Â±â€‰s.d.â€‰=â€‰21.53â€‰Â±â€‰1.95 years) participated in this study. Participants were randomly assigned to 32 same-gender pairs (16 female pairs), and the members of each pair were strangers. The sample size was determined based on the medium effect size by G*power v3.1 (Faul et al., 2009). Thirty pairs were needed to detect a reliable effect [Cohen fâ€‰=â€‰0.25, Î±â€‰=â€‰0.05, 1 âˆ’ Î²â€‰=â€‰0.9, analysis of variance (ANOVA): repeated measures, within factors; Faul et al., 2009].",Solves for sample size (often called a priori),No,1,3.1,1,0.9,1,0.05,1,60,f,,,1,0.25,ANOVA,,,,No,,"Conventions of small, medium, and large effect sizes (e.g., ""we powered for a medium effect size of Cohen's d = 0.5"")",,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,"Yes, but the researchers use the default option.",Yes,,Unsure (there's not enough information to reasonably code yes or no).,,,,,1,1,6,1,0,1,0,0,1,0,0,0,0
18,EZ/RTT,PMC8073378,No,Include,Non-human animal,Molecules,MDPI,2021,3.267,"The required sample size was determined using mean Â± SEM carrageenan-induced paw edema values between the untreated control group, and the reference treated group, based on a previously published report [20]. The calculated effect size d was 4.30 using a two-tail option on G Power V.3.1.9.4 software, Heinrich Heine University, DÃ¼sseldorf, Germany. To achieve a statistical power (1-Î² err prob) of 80%, and a specific Î± error probability of 0.05, the minimum required sample size in each group was nâ€‰= 5 rats.",Solves for sample size (often called a priori),No,1,3.1.9.4,1,0.8,1,0.05,1,10,d,,,1,4.3,the statistical test is NOT reported,,,,No,,Previously published research,,"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,,,,,1,0,5,0,0,1,1,0,0,0,0,0,0
19,EZ/RTT,PMC8650968,No,Include,Human,Child Health Nursing Research,KOREAN ACADEMY OF CHILD HEALTH NURSING,2020,NA,"The sample size was calculated using the G*Power 3.1.2 program [12] using an effect size of .08, significance level of âº=.05, degree of freedom=1, and testability oF=0.80, as in a preceding study [9]. This calculation indicated that 28 participants were needed for each group. Sixty participants (30 in each group) were designated in consideration of the expected dropout rate.",Solves for sample size (often called a priori),No,1,3.1.2,0,NA,1,0.05,1,56,No,,,1,0.08,the statistical test is NOT reported,,,,No,,Other (please describe),alludes to previous research about sample sizes (but not necessarily related to effect size),"No, and the article contains multiple analyses with no clear indication of a sole primary analysis for which this power calculation is for. (Note, if they are powering for an ANOVA and reporting multiple effects--e.g., two main effects and an interaction for a 2x2 ANOVA--then there should be a correction for multiple comparisons).",,No,Unsure (there's not enough information to reasonably code yes or no).,,Unsure (there's not enough information to reasonably code yes or no).,"They don’t seem to make clear which statistical analysis their sample size calculation relates to… I’m assuming the effect size reported (0.08) is a typo, since that’s an incredibly low effect size to power for for any test and would lead to a huge required sample size. However, I tried using an effect size of 0.8 for both an independent samples t-test (the result was close but not the same) and a contingency tables test. I would put “Likely, but I cannot be certain based on the information provided”, since there is definitely an error, but it isn’t possible to recreate the result so we can’t be completely sure what the error is.","we can't quanitfy exactly becaues the we are unsure what type of effect size it is, but both chi-squared and t-test would take ~10-50 times larger sample.",,,0,0,3,0,0,1,0,0,0,0,0,0,1
