id,coder,coder_number,coder_text,pmcid,protocol,include,participants,participants_text,journal,publisher,pub_year,impact_factor,verbatim,power_calc_type,power_calc_type_text,multiple,stats_knowledge,version,version_text,power,power_text,alpha,alpha_text,sample_size,sample_size_text,effect_size_type,effect_size_type_other_standardized_text,effect_size_type_other_nonstandardized_text,effect_size_value,effect_size_value_text,stat_test,stat_test_other_regression_text,stat_test_other_nonregression_text,other_info_missing,reproducible,reproducible_text,justification,justification_text,mult_compare,mult_compare_text,anova_within_between,match,match_text,error,error_text,impact,comments_calc,comments_general
,"{""ImportId"":""QID1""}",,"{""ImportId"":""QID1_4_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID287""}","{""ImportId"":""QID3""}","{""ImportId"":""QID286""}","{""ImportId"":""QID286_5_TEXT""}","{""ImportId"":""QID282_TEXT""}",,"{""ImportId"":""QID283_TEXT""}","{""ImportId"":""QID284_TEXT""}","{""ImportId"":""QID154_TEXT""}","{""ImportId"":""QID289""}","{""ImportId"":""QID289_4_TEXT""}","{""ImportId"":""QID290""}","{""ImportId"":""QID285""}","{""ImportId"":""QID294""}","{""ImportId"":""QID294_2_TEXT""}","{""ImportId"":""QID272""}","{""ImportId"":""QID272_1_TEXT""}","{""ImportId"":""QID273""}","{""ImportId"":""QID273_1_TEXT""}","{""ImportId"":""QID275""}","{""ImportId"":""QID275_2_TEXT""}","{""ImportId"":""QID277""}","{""ImportId"":""QID277_8_TEXT""}","{""ImportId"":""QID277_6_TEXT""}","{""ImportId"":""QID291""}","{""ImportId"":""QID291_1_TEXT""}","{""ImportId"":""QID293""}","{""ImportId"":""QID293_5_TEXT""}","{""ImportId"":""QID293_6_TEXT""}","{""ImportId"":""QID163_TEXT""}","{""ImportId"":""QID159""}","{""ImportId"":""QID159_2_TEXT""}","{""ImportId"":""QID279""}","{""ImportId"":""QID279_7_TEXT""}","{""ImportId"":""QID168""}","{""ImportId"":""QID171_TEXT""}","{""ImportId"":""QID160""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165_TEXT""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167_TEXT""}","{""ImportId"":""QID295_TEXT""}","{""ImportId"":""QID169_TEXT""}","{""ImportId"":""QID292_TEXT""}"
,Coder initials - Selected Choice,,Coder initials - Other - Text,Enter the article's PMCID.,Is this a study protocol?,"Does this article meet our inclusion criteria? Included articles must use GPower to perform a power calculation. The power calculation can solve for sample size, power, effect size, or any other relevant parameter and may be conducted before or after the study. If the article discusses GPower, but does not use it to conduct a power calculation for a study presented within that article, the article should be excluded (e.g., articles that run power calculations only for future studies should be excluded).","Who are the ""participants"" in the study the power calculation was written for? In other words, what type of study is this? - Selected Choice","Who are the ""participants"" in the study the power calculation was written for? In other words, what type of study is this? - Other - Text",Enter the name of the journal where the article was published.,,Enter the year the article was published.,"Enter the Journal Impact Factor for 2 YEARS PRIOR to the year of publication (i.e., if the article is published in 2021, enter the JIF for 2019. This is the JIF that would have been available the year of publication. At the moment, JIFs have only been calculated for 2020 and earlier years).
 
 
 
 Use the Journal Citation Report from https://jcr.clarivate.com/jcr/home. If the journal is not listed in that database, or does not have an impact factor for the year the article was published, enter ""NA"" into this box.","Complete this form for only one power calculation that solves for sample size. If there is one power calculation that is unambiguously identified, or likely to be, the primary power calculation, select this one. If there's no indication that one power calculation is more prominent than another one, select the power calculation that solves for sample size that first appears in the article. If there is only one power calculation that solves for sample size, select that one.
 
 Copy-paste text from the article that describes this power calculation. This text should be VERBATIM. Do not put text in this box that doesn't come directly from the article. You do not need to include "" "" quotation marks.",What type of power calculation(s) does this article have? Select multiple options if there are multiple power calculations that solve for different variables. - Selected Choice,What type of power calculation(s) does this article have? Select multiple options if there are multiple power calculations that solve for different variables. - Other - Text,Does the article contain more than one power calculation that solves for sample size?,Do you feel your statistical knowledge is adequate to fill out this form for this specific power calculation?,"Does the power calculation include the version of GPower used? If yes, enter the version number. - Selected Choice","Does the power calculation include the version of GPower used? If yes, enter the version number. - Yes - Text","Does the power calculation report the power or beta (i.e., 1 - power) used? If yes, enter the power value (e.g., 0.8). - Selected Choice","Does the power calculation report the power or beta (i.e., 1 - power) used? If yes, enter the power value (e.g., 0.8). - Yes - Text","Does the power calculation report alpha or the p-value used? If yes, enter the value (e.g., 0.05). - Selected Choice","Does the power calculation report alpha or the p-value used? If yes, enter the value (e.g., 0.05). - Yes - Text","Does the power calculation report the sample size? If yes, enter the TOTAL sample size (e.g., if the power calulcation has 2 groups with 30 participants each, then enter 60). Enter the sample size used in the power caluclation (rather than the actual sample size used). Some articles may add participants to their sample size because of attrition. In this case, enter the sample size output from the power calculaiton (i.e., what's expected after attrition). - Selected Choice","Does the power calculation report the sample size? If yes, enter the TOTAL sample size (e.g., if the power calulcation has 2 groups with 30 participants each, then enter 60). Enter the sample size used in the power caluclation (rather than the actual sample size used). Some articles may add participants to their sample size because of attrition. In this case, enter the sample size output from the power calculaiton (i.e., what's expected after attrition). - Yes - Text",Does the power calculation report the type of effect size? - Selected Choice,Does the power calculation report the type of effect size? - Other: Standardized - Text,"Does the power calculation report the type of effect size? - Other: Non-standardized (e.g., 5 points on a questionnaire scale). - Text","Does the power calculation report the value for the effect size? If yes, then enter the value (e.g. 0.5). Only enter a number here. We will know what type of effect size it is based on your response to the previous question. - Selected Choice","Does the power calculation report the value for the effect size? If yes, then enter the value (e.g. 0.5). Only enter a number here. We will know what type of effect size it is based on your response to the previous question. - Yes - Text",Does the power calculation report the statistical test? - Selected Choice,Does the power calculation report the statistical test? - other regression (please describe) - Text,Does the power calculation report the statistical test? - other non-regression (please describe) - Text,"Are there any other elements of the power calculation that should be reported, but are not reported? For example, the expected proportions in Fisher's test or the number of predictors in a regression. You don't need to reply to this question.","Can you reproduce the power calculation in GPower (within a few minutes)? If yes, take a screenshot of GPower to show the reproduction and save the screenshot filename as the PMCID. - Selected Choice","Can you reproduce the power calculation in GPower (within a few minutes)? If yes, take a screenshot of GPower to show the reproduction and save the screenshot filename as the PMCID. - Yes, but I've had to make some assumptions. (please list the assumptions you made) - Text",Does the article mention a justification or basis for the effect size chosen in their power calculation (you may select multiple options)? - Selected Choice,Does the article mention a justification or basis for the effect size chosen in their power calculation (you may select multiple options)? - Other (please describe) - Text,Does the power calculation mention accounting for multiple comparisons?,"Justify your response to the previous question regarding multiple comparisons. Or enter ""NTA"" for ""nothing to add"".",Is this power calculation for a within-between ANOVA interaction or within ANOVA main effect?,"Does the power calculation match a statistical analysis used in the article. For example, whereas a paired t-test could be used in the power calculation, the article may use an independent samples t-test. The power calculation could also be completely unrelated to the actual analyses conducted (e.g., powered for an ANOVA, but Fisher's tests conducted).","Justify your response to the previous question regarding whether the power calculation matches a statistical analysis in the article. Or enter ""NTA"" for ""nothing to add"".","Is there any other reason (beyond the two previous questions on ANOVAs and matching) why the power calculation contains an error or is inappropriate? For example, the effect size entered could be non-standardized, incorrectly calculated, incorrectly identified in relation to Cohen's indices without justification (e.g., calling f = 0.25 a small effect size), or performed after the study is complete. We do not have an exhaustive list of all possible errors, so please also code ""Yes"" for this question if you come across an error that we haven't described.","Justify your response to the previous question regarding whether the power calculation is inappropriate for any other reason. Or enter ""NTA"" for ""nothing to add"". If you responded ""Yes"" or ""Likely..."" to the previous question, you must explain why in this box.","If an error is present, can the impact of the error be quantified? For example, if the default ANOVA option was mistakenly chosen, what is the difference in sample size between what the article calculated and the same calculation with a different option selected? If no error is present in the calculation, you may leave this box blank.",Provide any additional comments you might have about this specific power calculation. (optional),Provide any additional comments you may have about this survey form or this study in general (optional).
1,EZ,1,,PMC5419106,No,Include,Humans,,Investigative and Clinical Urology,,2017,NA,"Our approach to the statistical data analysis could be named â€œharmonizing statistical evidences and predictions.â€ It is rather fruitful because it combines not only confidence interval estimates for parameters, for the standardized effect size dC, for the achieved power (1â€“Î²), and planned sample sizes, but prediction intervals for them and for p-values, as well as estimates of posterior probabilities for the null hypothesis P(H0â”‚D) and Bayes factors BF10. For parameter estimation and hypothesis testing the complementary combination of frequentist (orthodox) and Bayesian approaches was used. Nonparametric bootstrapping and permutation (Monte Carlo) procedures were realized with the number of replicates and/or random permutations as large as possible (but no less than 1 million). For measurable variables (stone size and density) medians and their 95% confidence limits were calculated. Software PAST [10], BoxPlotR (http://boxplot.tyerslab.com/), JASP (https://jasp-stats.org/), G*Power [11] and LePrep (http://lmrs.univ-rouen.fr/Persopage/Lecoutre/PAC.htm) have been involved.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,RTT,2,,PMC5419106,No,Include,Humans,,Investigative and Clinical Urology,,2017,NA,"Our approach to the statistical data analysis could be named â€œharmonizing statistical evidences and predictions.â€ It is rather fruitful because it combines not only confidence interval estimates for parameters, for the standardized effect size dC, for the achieved power (1â€“Î²), and planned sample sizes, but prediction intervals for them and for p-values, as well as estimates of posterior probabilities for the null hypothesis P(H0â”‚D) and Bayes factors BF10. For parameter estimation and hypothesis testing the complementary combination of frequentist (orthodox) and Bayesian approaches was used. Nonparametric bootstrapping and permutation (Monte Carlo) procedures were realized with the number of replicates and/or random permutations as large as possible (but no less than 1 million). For measurable variables (stone size and density) medians and their 95% confidence limits were calculated. Software PAST [10], BoxPlotR (http://boxplot.tyerslab.com/), JASP (https://jasp-stats.org/), G*Power [11] and LePrep (http://lmrs.univ-rouen.fr/Persopage/Lecoutre/PAC.htm) have been involved.",Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EZ/RTT,,,PMC5419106,No,Include,Humans,,Investigative and Clinical Urology,KOREAN UROLOGICAL ASSOC,2017,NA,"Our approach to the statistical data analysis could be named â€œharmonizing statistical evidences and predictions.â€ It is rather fruitful because it combines not only confidence interval estimates for parameters, for the standardized effect size dC, for the achieved power (1â€“Î²), and planned sample sizes, but prediction intervals for them and for p-values, as well as estimates of posterior probabilities for the null hypothesis P(H0â”‚D) and Bayes factors BF10. For parameter estimation and hypothesis testing the complementary combination of frequentist (orthodox) and Bayesian approaches was used. Nonparametric bootstrapping and permutation (Monte Carlo) procedures were realized with the number of replicates and/or random permutations as large as possible (but no less than 1 million). For measurable variables (stone size and density) medians and their 95% confidence limits were calculated. Software PAST [10], BoxPlotR (http://boxplot.tyerslab.com/), JASP (https://jasp-stats.org/), G*Power [11] and LePrep (http://lmrs.univ-rouen.fr/Persopage/Lecoutre/PAC.htm) have been involved.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not completely unambiguous, but almost surely solves for power",
1,resolveNotes,,,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EZ,1,,PMC5538937,No,Include,Humans,,Journal of Aging and Health,,2017,1.66,"We used the G*Power software (Faul, Erdfelder, Buchner, & Lang, 2009) to calculate power achieved in the regression analyses. We found that even in the stratified, fully adjusted regression models, there was sufficient power to observe even small effects as statistically significant. In addition, a quadratic term for each independent lipoprotein was included in each model to determine any nonlinear effects with each outcome measure. All reported statistics are double sided and with alpha = .01 overall to reduce Type-I error and all betas (Î²) are standardized. All statistical analyses were performed using SAS, version 9.4 (SAS Institute, Inc., Cary, NC).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,RTT,2,,PMC5538937,No,Include,Humans,,Journal of Aging and Health,,2018,2.168,"Statistical significant findings from the regression models at the p < .01 level were stratified accordingly. Age stratification was performed based on age quartiles. We used the G*Power software (Faul, Erdfelder, Buchner, & Lang, 2009) to calculate power achieved in the regression analyses. We found that even in the stratified, fully adjusted regression models, there was sufficient power to observe even small effects as statistically significant.",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EZ/RTT,,,PMC5538937,No,Include,Humans,,Journal of Aging and Health,SAGE PUBLICATIONS INC,2018,2.168,"Statistical significant findings from the regression models at the p < .01 level were stratified accordingly. Age stratification was performed based on age quartiles. We used the G*Power software (Faul, Erdfelder, Buchner, & Lang, 2009) to calculate power achieved in the regression analyses. We found that even in the stratified, fully adjusted regression models, there was sufficient power to observe even small effects as statistically significant. In addition, a quadratic term for each independent lipoprotein was included in each model to determine any nonlinear effects with each outcome measure. All reported statistics are double sided and with alpha = .01 overall to reduce Type-I error and all betas (β) are standardized. All statistical analyses were performed using SAS, version 9.4 (SAS Institute, Inc., Cary, NC).",Solves for power (often called post hoc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,resolveNotes,,,,,,,,,,,nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
