Transparency element,N=95,Percent,(95% CI)
"Yes, without assumptions",2,2%,(<1 - 6%)
"Likely, with assumptions",27,28%,(20 - 38%)
No,66,70%,(60 - 78%)
Yes,13,13%,(8 - 21%)
No,82,87%,(79 - 92%)
0.05,80,84%,(76 - 91%)
Other,2,2%,(<1 - 6%)
Not reported,13,13%,(8 - 21%)
0.80,53,56%,(46 - 66%)
0.95,16,17%,(10 - 25%)
Other,18,19%,(12 - 27%)
Not reported,8,8%,(4 - 15%)
d,15,16%,(9 - 24%)
f,15,16%,(9 - 24%)
Non-standardized,11,11%,(6 - 19%)
Other,9,9%,(4 - 16%)
Not reported,45,47%,(37 - 57%)
Reported,76,80%,(71 - 87%)
Not reported,19,20%,(13 - 29%)
ANOVA,14,14%,(8 - 22%)
t-test,12,12%,(7 - 20%)
Other,6,6%,(2 - 12%)
Not reported,63,66%,(57 - 75%)
Reported,90,95%,(89 - 98%)
Not reported,5,5%,(2 - 11%)
